date,unemployment,unemployment benefits,file for unemployment,unemployment office,apply for unemployment
2012-02-18,,,,,
2012-02-25,,,,,
2012-03-03,10.0,1.0,0.0,1.0,0.0
2012-03-10,,,,,
2012-03-17,,,,,
2012-03-24,,,,,
2012-03-31,,,,,
2012-04-07,11.0,1.0,0.0,1.0,0.0
2012-04-14,,,,,
2012-04-21,,,,,
2012-04-28,,,,,
2012-05-05,11.0,1.0,0.0,1.0,0.0
2012-05-12,,,,,
2012-05-19,,,,,
2012-05-26,,,,,
2012-06-02,11.0,1.0,0.0,1.0,0.0
2012-06-09,,,,,
2012-06-16,,,,,
2012-06-23,,,,,
2012-06-30,,,,,
2012-07-07,10.0,1.0,0.0,1.0,0.0
2012-07-14,,,,,
2012-07-21,,,,,
2012-07-28,,,,,
2012-08-04,10.0,1.0,0.0,1.0,0.0
2012-08-11,,,,,
2012-08-18,,,,,
2012-08-25,,,,,
2012-09-01,10.0,1.0,0.0,1.0,0.0
2012-09-08,,,,,
2012-09-15,,,,,
2012-09-22,,,,,
2012-09-29,,,,,
2012-10-06,11.0,1.0,0.0,1.0,0.0
2012-10-13,,,,,
2012-10-20,,,,,
2012-10-27,,,,,
2012-11-03,10.0,1.0,0.0,1.0,0.0
2012-11-10,,,,,
2012-11-17,,,,,
2012-11-24,,,,,
2012-12-01,11.0,1.0,0.0,1.0,0.0
2012-12-08,,,,,
2012-12-15,,,,,
2012-12-22,,,,,
2012-12-29,,,,,
2013-01-05,12.0,1.0,0.0,1.0,0.0
2013-01-12,,,,,
2013-01-19,,,,,
2013-01-26,,,,,
2013-02-02,9.0,1.0,0.0,1.0,0.0
2013-02-09,,,,,
2013-02-16,,,,,
2013-02-23,,,,,
2013-03-02,9.0,0.0,0.0,1.0,0.0
2013-03-09,,,,,
2013-03-16,,,,,
2013-03-23,,,,,
2013-03-30,,,,,
2013-04-06,9.0,1.0,0.0,1.0,0.0
2013-04-13,,,,,
2013-04-20,,,,,
2013-04-27,,,,,
2013-05-04,8.0,1.0,0.0,1.0,0.0
2013-05-11,,,,,
2013-05-18,,,,,
2013-05-25,,,,,
2013-06-01,8.0,1.0,0.0,1.0,0.0
2013-06-08,,,,,
2013-06-15,,,,,
2013-06-22,,,,,
2013-06-29,,,,,
2013-07-06,9.0,1.0,0.0,1.0,0.0
2013-07-13,,,,,
2013-07-20,,,,,
2013-07-27,,,,,
2013-08-03,8.0,0.0,0.0,1.0,0.0
2013-08-10,,,,,
2013-08-17,,,,,
2013-08-24,,,,,
2013-08-31,,,,,
2013-09-07,9.0,1.0,0.0,1.0,0.0
2013-09-14,,,,,
2013-09-21,,,,,
2013-09-28,,,,,
2013-10-05,10.0,1.0,0.0,1.0,0.0
2013-10-12,,,,,
2013-10-19,,,,,
2013-10-26,,,,,
2013-11-02,8.0,0.0,0.0,1.0,0.0
2013-11-09,,,,,
2013-11-16,,,,,
2013-11-23,,,,,
2013-11-30,,,,,
2013-12-07,10.0,1.0,0.0,1.0,0.0
2013-12-14,,,,,
2013-12-21,,,,,
2013-12-28,,,,,
2014-01-04,15.0,2.0,0.0,1.0,0.0
2014-01-11,,,,,
2014-01-18,,,,,
2014-01-25,,,,,
2014-02-01,13.0,1.0,0.0,1.0,0.0
2014-02-08,,,,,
2014-02-15,,,,,
2014-02-22,,,,,
2014-03-01,12.0,1.0,0.0,0.0,0.0
2014-03-08,,,,,
2014-03-15,,,,,
2014-03-22,,,,,
2014-03-29,,,,,
2014-04-05,13.0,1.0,0.0,0.0,0.0
2014-04-12,,,,,
2014-04-19,,,,,
2014-04-26,,,,,
2014-05-03,11.0,1.0,0.0,0.0,0.0
2014-05-10,,,,,
2014-05-17,,,,,
2014-05-24,,,,,
2014-05-31,,,,,
2014-06-07,9.0,1.0,0.0,0.0,0.0
2014-06-14,,,,,
2014-06-21,,,,,
2014-06-28,,,,,
2014-07-05,8.0,1.0,0.0,0.0,0.0
2014-07-12,,,,,
2014-07-19,,,,,
2014-07-26,,,,,
2014-08-02,6.0,0.0,0.0,0.0,0.0
2014-08-09,,,,,
2014-08-16,,,,,
2014-08-23,,,,,
2014-08-30,,,,,
2014-09-06,7.0,1.0,0.0,0.0,0.0
2014-09-13,,,,,
2014-09-20,,,,,
2014-09-27,,,,,
2014-10-04,7.0,1.0,0.0,0.0,0.0
2014-10-11,,,,,
2014-10-18,,,,,
2014-10-25,,,,,
2014-11-01,7.0,0.0,0.0,0.0,0.0
2014-11-08,,,,,
2014-11-15,,,,,
2014-11-22,,,,,
2014-11-29,,,,,
2014-12-06,7.0,0.0,0.0,1.0,0.0
2014-12-13,,,,,
2014-12-20,,,,,
2014-12-27,,,,,
2015-01-03,8.0,0.0,0.0,1.0,0.0
2015-01-10,,,,,
2015-01-17,,,,,
2015-01-24,,,,,
2015-01-31,,,,,
2015-02-07,7.0,0.0,0.0,0.0,0.0
2015-02-14,,,,,
2015-02-21,,,,,
2015-02-28,,,,,
2015-03-07,7.0,0.0,0.0,0.0,0.0
2015-03-14,,,,,
2015-03-21,,,,,
2015-03-28,,,,,
2015-04-04,7.0,0.0,0.0,0.0,0.0
2015-04-11,,,,,
2015-04-18,,,,,
2015-04-25,,,,,
2015-05-02,7.0,0.0,0.0,0.0,0.0
2015-05-09,,,,,
2015-05-16,,,,,
2015-05-23,,,,,
2015-05-30,,,,,
2015-06-06,7.0,0.0,0.0,1.0,0.0
2015-06-13,,,,,
2015-06-20,,,,,
2015-06-27,,,,,
2015-07-04,6.0,0.0,0.0,0.0,0.0
2015-07-11,,,,,
2015-07-18,,,,,
2015-07-25,,,,,
2015-08-01,6.0,0.0,0.0,0.0,0.0
2015-08-08,,,,,
2015-08-15,,,,,
2015-08-22,,,,,
2015-08-29,,,,,
2015-09-05,6.0,0.0,0.0,0.0,0.0
2015-09-12,,,,,
2015-09-19,,,,,
2015-09-26,,,,,
2015-10-03,6.0,0.0,0.0,0.0,0.0
2015-10-10,,,,,
2015-10-17,,,,,
2015-10-24,,,,,
2015-10-31,,,,,
2015-11-07,6.0,0.0,0.0,0.0,0.0
2015-11-14,,,,,
2015-11-21,,,,,
2015-11-28,,,,,
2015-12-05,6.0,0.0,0.0,0.0,0.0
2015-12-12,,,,,
2015-12-19,,,,,
2015-12-26,,,,,
2016-01-02,7.0,0.0,0.0,1.0,0.0
2016-01-09,,,,,
2016-01-16,,,,,
2016-01-23,,,,,
2016-01-30,,,,,
2016-02-06,7.0,0.0,0.0,0.0,0.0
2016-02-13,,,,,
2016-02-20,,,,,
2016-02-27,,,,,
2016-03-05,6.0,0.0,0.0,0.0,0.0
2016-03-12,,,,,
2016-03-19,,,,,
2016-03-26,,,,,
2016-04-02,6.0,0.0,0.0,0.0,0.0
2016-04-09,,,,,
2016-04-16,,,,,
2016-04-23,,,,,
2016-04-30,,,,,
2016-05-07,6.0,0.0,0.0,0.0,0.0
2016-05-14,,,,,
2016-05-21,,,,,
2016-05-28,,,,,
2016-06-04,6.0,0.0,0.0,0.0,0.0
2016-06-11,,,,,
2016-06-18,,,,,
2016-06-25,,,,,
2016-07-02,6.0,0.0,0.0,0.0,0.0
2016-07-09,,,,,
2016-07-16,,,,,
2016-07-23,,,,,
2016-07-30,,,,,
2016-08-06,5.0,0.0,0.0,0.0,0.0
2016-08-13,,,,,
2016-08-20,,,,,
2016-08-27,,,,,
2016-09-03,5.0,0.0,0.0,0.0,0.0
2016-09-10,,,,,
2016-09-17,,,,,
2016-09-24,,,,,
2016-10-01,5.0,0.0,0.0,0.0,0.0
2016-10-08,,,,,
2016-10-15,,,,,
2016-10-22,,,,,
2016-10-29,,,,,
2016-11-05,6.0,0.0,0.0,0.0,0.0
2016-11-12,,,,,
2016-11-19,,,,,
2016-11-26,,,,,
2016-12-03,6.0,0.0,0.0,0.0,0.0
2016-12-10,,,,,
2016-12-17,,,,,
2016-12-24,,,,,
2016-12-31,,,,,
2017-01-07,7.0,0.0,0.0,1.0,0.0
2017-01-14,,,,,
2017-01-21,,,,,
2017-01-28,,,,,
2017-02-04,6.0,0.0,0.0,0.0,0.0
2017-02-11,,,,,
2017-02-18,,,,,
2017-02-25,,,,,
2017-03-04,6.0,0.0,0.0,0.0,0.0
2017-03-11,,,,,
2017-03-18,,,,,
2017-03-25,,,,,
2017-04-01,6.0,0.0,0.0,0.0,0.0
2017-04-08,,,,,
2017-04-15,,,,,
2017-04-22,,,,,
2017-04-29,,,,,
2017-05-06,6.0,0.0,0.0,0.0,0.0
2017-05-13,,,,,
2017-05-20,,,,,
2017-05-27,,,,,
2017-06-03,5.0,0.0,0.0,1.0,0.0
2017-06-10,,,,,
2017-06-17,,,,,
2017-06-24,,,,,
2017-07-01,5.0,0.0,0.0,0.0,0.0
2017-07-08,,,,,
2017-07-15,,,,,
2017-07-22,,,,,
2017-07-29,,,,,
2017-08-05,5.0,0.0,0.0,0.0,0.0
2017-08-12,,,,,
2017-08-19,,,,,
2017-08-26,,,,,
2017-09-02,5.0,0.0,0.0,0.0,0.0
2017-09-09,,,,,
2017-09-16,,,,,
2017-09-23,,,,,
2017-09-30,,,,,
2017-10-07,5.0,0.0,0.0,0.0,0.0
2017-10-14,,,,,
2017-10-21,,,,,
2017-10-28,,,,,
2017-11-04,5.0,0.0,0.0,0.0,0.0
2017-11-11,,,,,
2017-11-18,,,,,
2017-11-25,,,,,
2017-12-02,5.0,0.0,0.0,0.0,0.0
2017-12-09,,,,,
2017-12-16,,,,,
2017-12-23,,,,,
2017-12-30,,,,,
2018-01-06,7.0,0.0,0.0,0.0,0.0
2018-01-13,,,,,
2018-01-20,,,,,
2018-01-27,,,,,
2018-02-03,6.0,0.0,0.0,0.0,0.0
2018-02-10,,,,,
2018-02-17,,,,,
2018-02-24,,,,,
2018-03-03,5.0,0.0,0.0,0.0,0.0
2018-03-10,,,,,
2018-03-17,,,,,
2018-03-24,,,,,
2018-03-31,,,,,
2018-04-07,5.0,0.0,0.0,0.0,0.0
2018-04-14,,,,,
2018-04-21,,,,,
2018-04-28,,,,,
2018-05-05,5.0,0.0,0.0,0.0,0.0
2018-05-12,,,,,
2018-05-19,,,,,
2018-05-26,,,,,
2018-06-02,5.0,0.0,0.0,0.0,0.0
2018-06-09,,,,,
2018-06-16,,,,,
2018-06-23,,,,,
2018-06-30,,,,,
2018-07-07,6.0,0.0,0.0,1.0,0.0
2018-07-14,,,,,
2018-07-21,,,,,
2018-07-28,,,,,
2018-08-04,5.0,0.0,0.0,0.0,0.0
2018-08-11,,,,,
2018-08-18,,,,,
2018-08-25,,,,,
2018-09-01,5.0,0.0,0.0,0.0,0.0
2018-09-08,,,,,
2018-09-15,,,,,
2018-09-22,,,,,
2018-09-29,,,,,
2018-10-06,5.0,0.0,0.0,0.0,0.0
2018-10-13,,,,,
2018-10-20,,,,,
2018-10-27,,,,,
2018-11-03,5.0,0.0,0.0,0.0,0.0
2018-11-10,,,,,
2018-11-17,,,,,
2018-11-24,,,,,
2018-12-01,6.0,0.0,0.0,0.0,0.0
2018-12-08,,,,,
2018-12-15,,,,,
2018-12-22,,,,,
2018-12-29,,,,,
2019-01-05,8.0,0.0,0.0,0.0,0.0
2019-01-12,,,,,
2019-01-19,,,,,
2019-01-26,,,,,
2019-02-02,6.0,0.0,0.0,0.0,0.0
2019-02-09,,,,,
2019-02-16,,,,,
2019-02-23,,,,,
2019-03-02,6.0,0.0,0.0,0.0,0.0
2019-03-09,,,,,
2019-03-16,,,,,
2019-03-23,,,,,
2019-03-30,,,,,
2019-04-06,6.0,0.0,0.0,0.0,0.0
2019-04-13,,,,,
2019-04-20,,,,,
2019-04-27,,,,,
2019-05-04,6.0,0.0,0.0,0.0,0.0
2019-05-11,,,,,
2019-05-18,,,,,
2019-05-25,,,,,
2019-06-01,5.0,0.0,0.0,0.0,0.0
2019-06-08,,,,,
2019-06-15,,,,,
2019-06-22,,,,,
2019-06-29,,,,,
2019-07-06,6.0,0.0,0.0,0.0,0.0
2019-07-13,,,,,
2019-07-20,,,,,
2019-07-27,,,,,
2019-08-03,5.0,0.0,0.0,0.0,0.0
2019-08-10,,,,,
2019-08-17,,,,,
2019-08-24,,,,,
2019-08-31,,,,,
2019-09-07,5.0,0.0,0.0,0.0,0.0
2019-09-14,,,,,
2019-09-21,,,,,
2019-09-28,,,,,
2019-10-05,5.0,0.0,0.0,0.0,0.0
2019-10-12,,,,,
2019-10-19,,,,,
2019-10-26,,,,,
2019-11-02,5.0,0.0,0.0,0.0,0.0
2019-11-09,,,,,
2019-11-16,,,,,
2019-11-23,,,,,
2019-11-30,,,,,
2019-12-07,6.0,0.0,0.0,0.0,0.0
2019-12-14,,,,,
2019-12-21,,,,,
2019-12-28,,,,,
2020-01-04,6.0,0.0,0.0,0.0,0.0
2020-01-11,,,,,
2020-01-18,,,,,
2020-01-25,,,,,
2020-02-01,6.0,0.0,0.0,0.0,0.0
2020-02-08,,,,,
2020-02-15,,,,,
2020-02-22,,,,,
2020-02-29,,,,,
2020-03-07,53.0,6.0,4.0,1.0,4.0
2020-03-14,,,,,
2020-03-21,,,,,
2020-03-28,,,,,
2020-04-04,100.0,8.0,4.0,1.0,4.0
2020-04-11,,,,,
2020-04-18,,,,,
2020-04-25,,,,,
2020-05-02,62.0,4.0,2.0,1.0,2.0
2020-05-09,,,,,
2020-05-16,,,,,
2020-05-23,,,,,
2020-05-30,,,,,
2020-06-06,48.0,3.0,1.0,1.0,1.0
2020-06-13,,,,,
2020-06-20,,,,,
2020-06-27,,,,,
2020-07-04,66.0,5.0,1.0,1.0,1.0
2020-07-11,,,,,
2020-07-18,,,,,
2020-07-25,,,,,
2020-08-01,64.0,6.0,1.0,1.0,1.0
2020-08-08,,,,,
2020-08-15,,,,,
2020-08-22,,,,,
2020-08-29,,,,,
2020-09-05,43.0,3.0,1.0,0.0,1.0
2020-09-12,,,,,
2020-09-19,,,,,
2020-09-26,,,,,
2020-10-03,30.0,2.0,0.0,0.0,1.0
2020-10-10,,,,,
2020-10-17,,,,,
2020-10-24,,,,,
2020-10-31,,,,,
2020-11-07,24.0,2.0,0.0,0.0,0.0
2020-11-14,,,,,
2020-11-21,,,,,
2020-11-28,,,,,
2020-12-05,35.0,3.0,1.0,0.0,1.0
2020-12-12,,,,,
2020-12-19,,,,,
2020-12-26,,,,,
2021-01-02,43.0,4.0,1.0,1.0,1.0
2021-01-09,,,,,
2021-01-16,,,,,
2021-01-23,,,,,
2021-01-30,,,,,
2021-02-06,28.0,2.0,0.0,0.0,0.0
2021-02-13,,,,,
2021-02-20,,,,,
2021-02-27,,,,,
2021-03-06,32.0,2.0,1.0,0.0,1.0
2021-03-13,,,,,
2021-03-20,,,,,
2021-03-27,,,,,
